,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,다크나미트,근원을 삼킨 소검,리버시블 레더 코트,매니퓰레이션,악몽을 이겨낸 승전보,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,어둠을 먹는 심장,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,술마쉰염제,,,,,,,,,,,,,
0,정신아픔이,결전의 창 - 배틀메이지,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,잿빛의 묘상석,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
0,돌맹소마,,,,,,,,,,,,,
0,이벤트당햇다,결전의 도 - 검귀,리버시블 레더 코트,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,검은 별,억제된 마력의 팔찌,개화하는 신비의 꽃,굴착 강화 파츠,잊혀진 기록,폭풍을 삼킨 에너지,
0,꼽고조져,,,,,,,,,,,,,
0,냥냥냥령냥,근원을 삼킨 완드,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,굴착 강화 파츠,거짓 속의 거짓,인력의 법칙,금룡 : 무한한 빛의 결계
0,로제아겅,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,ㄷㅏ으ㄹㅏ,근원을 삼킨 도,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,생명이 담긴 가죽 토시,어댑터블 투톤 링,용살자의 증표 - 용골 뿔피리,블루 베릴 젬스톤,아득한 각인,금룡 : 무한한 빛의 결계
0,낑님이낑깡,,,,,,,,,,,,,
0,메카가방,근원을 삼킨 자동권총,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,작은 풀잎의 순수함,뚜렷해지는 소멸된 사념,생명이 담긴 잔,자연에 녹아드는 이슬,폭발형 : 소형 전술 플레어,금룡 : 무한한 빛의 결계
0,소울뚜렛,결전의 소검 - 소울브링어,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,화음하는 음색,서드 스페이드 - 데스,굴착 강화 파츠,숨결을 삼킨 용옥,초소형 GPS,금룡 : 무한한 빛의 결계
0,솬사??,결전의 스태프 - 소환사,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,올곧은 자의 이념,무뎌지는 둔화된 변화,서드 스페이드 - 데스,굴착 강화 파츠,생명이 깃든 초록빛 액체,폭발형 : 소형 전술 플레어,
0,용병여왕,근원을 삼킨 대검,리버시블 레더 코트,매니퓰레이션,언리밋 사이버네틱,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,옵티컬 컴뱃 글래스,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,타니트,,,,,,,,,,,,,
