,urname,weapon,jacket,shoulder,pants,shoes,waist,amulet,wrist,ring,support,magicstone,earring,fusion ring
0,힐르가즘,결전의 십자가 - 크루세이더(여),쉐도우블랙 슈트,주체할 수 없는 낡은 규칙,지치지 않는 여정의 하의,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,딥 다이버 오리발,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,에란겔,근원을 삼킨 보우건,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,내딛는 용기,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,본부캐요,근원을 삼킨 소검,블루 베릴 아머,빛을 잃은 진실,로보티카 컴뱃 팬츠,소망을 향한 움직임,마땅한 본분,아토믹 코어 네클레스,흑화의 구속 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,엔트 정령의 심장,아크로매틱 룸버스,
0,과해,근원을 삼킨 봉,흙으로 빚은 자연,피어나는 자연의 삶,숨쉬는 자연의 생명,순환하는 자연의 섭리,순수한 자연의 이치,솔저 호너 네클리스,무뎌지는 둔화된 변화,서드 스페이드 - 데스,굴착 강화 파츠,거짓 속의 거짓,폭발형 : 소형 전술 플레어,흑룡 : 끝없는 암흑의 굴레
0,음유시인노예,결전의 선현궁 - 뮤즈,어릴적 꿈꿔온 무대,화려한 청색의 음율,로보티카 컴뱃 팬츠,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,원터치 스마트 리모콘,꿈같은 환호성,두근거리는 열정,들이치는 희미한 탄식,흑룡 : 끝없는 암흑의 굴레
0,아기오이,결전의 선현궁 - 뮤즈,딥 다이버 슈트,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,잠겨진 영역,블루 베릴 암릿,뚜렷해지는 소멸된 사념,엔트 정령의 성배,엔트 정령의 심장,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,결손,근원을 삼킨 토템,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,루시소울하트,결전의 선현궁 - 뮤즈,어릴적 꿈꿔온 무대,화려한 청색의 음율,무대의 화려함,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,두근거리는 열정,인력의 법칙,흑룡 : 끝없는 암흑의 굴레
0,쫄보장군르봉,근원을 삼킨 머스켓,엔트 정령의 상의,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,엔트 정령의 성배,승리가 약속된 시간,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
0,1베가본드1,근원을 삼킨 광검,블루 베릴 아머,아픔을 감싸는 위엄,엔트 정령의 하의,움직이는 쇠약한 집착,파괴된 신념,아토믹 코어 네클레스,흑화의 구속 팔찌,에너지 서치 링,옵티컬 컴뱃 글래스,저주받은 마음,결전의 광검 - 베가본드,천계 연합군 : 밝게 빛나는 희망
0,좀약함,근원을 삼킨 너클,블루 베릴 아머,옥화의 망령 상박갑,라이트 어댑터 팬츠,하이테크 고기동 강화 부츠,마땅한 본분,고양된 분노의 목걸이,흑화의 구속 팔찌,어댑터블 투톤 링,옵티컬 컴뱃 글래스,저주받은 마음,들이치는 희미한 탄식,흑룡 : 끝없는 암흑의 굴레
0,이실,근원을 삼킨 도,블루 베릴 아머,아픔을 감싸는 위엄,로보티카 컴뱃 팬츠,과거를 뒤로 한 전진,얼터레이션 다이얼 벨트,아토믹 코어 네클레스,흑화의 구속 팔찌,에너지 서치 링,블루 베릴 퍼퓸,완성형 동력 제어장치,딥 다이버 이어링,천계 연합군 : 밝게 빛나는 희망
0,양호성주,근원을 삼킨 도,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,잊혀진 기록,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,무영민카데1,결전의 빗자루 - 인챈트리스,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,엑셀러레이터,쿨링 서포트 벨트,잠겨진 영역,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,☆힐링스타☆,근원을 삼킨 광검,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,근원을 삼킨 광검,흑룡 : 끝없는 암흑의 굴레
0,에터뮤즈,결전의 선현궁 - 뮤즈,어릴적 꿈꿔온 무대,화려한 청색의 음율,지치지 않는 여정의 하의,소망을 전하는 편지,음율에 담은 소망,잔잔한 선율,오랜 시간 품어온 소원,뚜렷해지는 소멸된 사념,꿈같은 환호성,엔트 정령의 심장,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,장옹심,근원을 삼킨 자동권총,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,아우덴티법,결전의 선현궁 - 뮤즈,고귀한 신의,주체할 수 없는 낡은 규칙,언리밋 사이버네틱,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,어댑터블 투톤 링,굴착 강화 파츠,생명이 깃든 초록빛 액체,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,엘란프리나,근원을 삼킨 핸드캐넌,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,다람쥐발바닥,근원을 삼킨 스태프,블루 베릴 아머,마그네틱 서치 스캔,로보티카 컴뱃 팬츠,소망을 향한 움직임,마땅한 본분,잠겨진 영역,생명이 담긴 가죽 토시,빛을 발하는 생명,옵티컬 컴뱃 글래스,저주받은 마음,아크로매틱 룸버스,흑룡 : 끝없는 암흑의 굴레
0,우리호빵맨,결전의 빗자루 - 인챈트리스,고귀한 신의,주체할 수 없는 낡은 규칙,블루 베릴 하의,내딛는 용기,쿨링 서포트 벨트,폭룡왕의 지배 - 공포,생명이 담긴 가죽 토시,어댑터블 투톤 링,공중형 : 전술 프롭 드론,자연에 녹아드는 이슬,시각의 관점,흑룡 : 끝없는 암흑의 굴레
0,Tonic,근원을 삼킨 리볼버,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
0,권의초월,,,,,,,,,,,,,
0,섀박않씀,근원을 삼킨 토템,리버시블 레더 코트,매니퓰레이션,혼돈을 두른 장막,엑셀러레이터,파워 플랜트,검은 별,억제된 마력의 팔찌,골렘의 중추석 반지,파괴된 생명,승리가 약속된 시간,폭풍을 삼킨 에너지,흑룡 : 끝없는 암흑의 굴레
